pair_id,cluster1,cluster2,d_now_pc,d_min_pc,tmin_lookback_myr,expansion_factor,vrel_kms,vesc_kms,energy_ratio,age_myr,age_diff_myr,candidate_common_origin
1,ASCC_21,Briceno_1,13.8732097308167,13.48997954782878,0.5,1.0284085073390343,6.66417,0.39718,281.6020173711937,10.0,2.307675161682172,True
2,HSC_1071,Stock_5,24.02797442754608,15.57178560365031,3.0,1.5430455465501327,9.82883,0.44306,492.2547686052614,44.668359215096345,42.61074912576919,True
10,CWNU_218,LP_2210,64.20782883796046,33.83108510541348,3.0,1.8978944552885848,19.51162,0.3771,2677.808129737152,707.9457843841373,0.0,True
12,CWNU_2606,CWNU_2714,34.43422383928891,34.12683914182537,0.5,1.009007124749705,34.25214,0.3058,12549.409860580688,53.08844442309879,18.427375232922948,True
28,OC_0450,UPK_535,49.9975757993835,41.6086735924244,14.0,1.2016142665140486,5.50329,0.53519,105.76515541373138,22.387211385683376,0.0,True
37,Alessi_21,UPK_452,72.15129136649132,46.21788244315994,10.5,1.5611120101667362,5.42109,0.36007,226.73506114580812,50.118723362727245,47.81004687074442,True
55,OCSN_69,Theia_807,94.84885387666412,3.86176127678822,10.5,24.56103499891862,8.33628,0.14142,3475.503749752874,50.118723362727245,186.9369773789466,False
115,UPK_16,UPK_7,162.54198961623032,6.717471183274911,199.5,24.196901658607132,9.01215,0.1174,5894.123402036614,188.36490894897943,65.3827946107227,False
18,HSC_1897,HSC_1911,47.656059209039455,12.444043644903118,179.0,3.829628099107368,3.29895,0.20586,256.87443627243147,50.118723362727245,60.94126450073004,False
30,HXHWL_22,NGC_2353,32.64429898689747,14.67371870409311,4.5,2.2246779868958244,6.5068,0.35779,330.8157757802547,223.8721138568347,51.66241165406993,False
6,Alessi_96,HSC_1314,22.24379882389827,15.297147773228891,128.0,1.4541141364161048,11.15949,0.53488,435.39936087489593,125.8925411794166,774.3756115745933,False
4,Markarian_38,Turner_3,32.416195544619086,21.44799501827578,3.5,1.511385820306156,11.96233,0.29041,1697.149279406008,66.83439175686148,554.3980428431063,False
33,Theia_1761,UBC_340,53.478584176791294,22.43520584151761,11.0,2.383690372825827,4.61957,0.28752,258.20908534360433,630.9573444801944,767.2050650683892,False
154,ASCC_85,UPK_629,179.32368199248748,26.930910149909664,161.5,6.658656576932993,2.49121,0.15943,244.2154295122369,125.8925411794166,188.09290870293893,False
3,HSC_2893,UFMG_24,36.41054791733831,28.85586772108617,8.0,1.2618074171005302,3.54248,0.2432,212.23073594054748,266.0725059798814,518.7554990499978,False
145,HSC_815,Theia_873,188.1068459008653,29.147759217925287,171.0,6.453561129501281,11.98763,0.10202,13810.348666505064,53.08844442309879,57.5023172116908,False
14,CWNU_406,HSC_1507,35.317531994772445,30.989305253712494,1.0,1.1396684019091208,16.22145,0.19075,7233.4098247828815,211.34890398366437,560.1627660417806,False
27,CWNU_354,CWNU_56,115.09570413749712,35.31505322885219,26.0,3.2591117275582806,65.75228,0.28958,51570.77988306062,7.079457843841373,1.6337089024408915,False
19,CWNU_361,NGC_1582,46.85537273919744,35.59632472066173,21.5,1.3162980478150443,32.83058,0.33425,9649.787064638615,74.98942093324558,228.80143176527483,False
21,HSC_2244,Theia_149,43.21040626707025,41.95712216541858,2.0,1.029870592570923,22.95888,0.21644,11254.854735670564,94.40608762859227,250.21551652476114,False
70,HSC_1807,NGC_2287,113.00993677421192,42.075439869602825,12.5,2.68588842147448,8.61543,0.37267,534.5780335914004,199.52623149688827,92.69932390484712,False
118,Theia_3397,UPK_470,159.0193535594819,46.2144111144317,33.5,3.4409040324182305,3.09205,0.24837,155.02009364760198,31.622776601683796,0.0,False
45,BDSB_91,UPK_448,82.25559459261522,47.27871125783008,5.5,1.739801961691425,12.06667,0.15627,5963.65626013052,11.88502227437019,27.155940680174158,False
42,Theia_752,Theia_962,68.08992311177028,48.60781424700411,19.5,1.4008019938063132,2.27464,0.10868,438.1233845496497,112.20184543019651,201.06991978823095,False
77,Theia_398,Theia_759,123.3807302575404,48.8828102331539,20.0,2.5240105810009186,3.99358,0.18817,450.5211092622042,158.4893192461111,73.63369031747166,False
25,Theia_123,UPK_292,49.84049169058808,49.81914279479171,1.0,1.0004285279633234,2.42841,0.28482,72.71077771656135,84.13951416451947,69.65840866038171,False
119,HXHWL_42,Theia_3932,124.86091708540404,49.89174030592335,7.5,2.502637036106357,14.41221,0.16462,7666.992920165393,188.36490894897943,851.4402210783944,False
