pair_id,cluster1,cluster2,log_age1,log_age2,log_age_mean,age_yr,age_myr,mass1_msun,mass2_msun,mass_total_msun,separation_pc,vesc_kms,vrel_kms,dsi,p_bound,p_dis,m_dis_msun,vrel_over_vesc,tf_mean,ra1_deg,dec1_deg,parallax1_mas,pmra1_masyr,pmdec1_masyr,rv1_kms,ra2_deg,dec2_deg,parallax2_mas,pmra2_masyr,pmdec2_masyr,rv2_kms,d_now_pc,d_min_pc,t_d_min_myr,d_now_over_d_min,expansion_factor,is_expanding,delta_d_pc,compact_origin_class,class_label,reduced_mass_msun,e_k_msun_kms2,e_g_msun_kms2,e_orb_msun_kms2,energy_ratio,bound_energy_flag,energy_ratio_from_velocity,energy_ratio_check_absdiff,energy_ratio_check_reldiff
55,OCSN_69,Theia_807,7.1,8.3,7.7,50118723.36272725,50.118723362727245,35.3545,183.3694,218.7239,94.09369,0.14142,8.33628,0.0169644013876693,0.0497787438622751,0.9502212561377248,207.8360990053421,58.946966482817146,994.659005,93.45365,-4.52782,2.85687,-6.5958,2.60556,20.88484,88.14568,-19.34416,3.01699,-7.16927,1.28213,19.12949,94.84885387666412,3.86176127678822,-10.5,24.56103499891862,24.56103499891862,True,90.98709259987591,A_compact_origin,A: Dmin < 20 pc,29.639803662516993,1029.8877999173444,0.29632763307781634,1029.5914722842665,3475.503749752874,False,3474.744857526368,0.75889222650585,0.00021835459868510028
115,UPK_16,UPK_7,8.35,8.2,8.274999999999999,188364908.94897944,188.36490894897943,85.8919,143.4747,229.3666,143.18043,0.1174,9.01215,0.0130268581858934,0.0492229590806793,0.9507770409193206,218.07649723372543,76.7644804088586,13542.967985,287.32287,-19.0783,1.15298,-0.43714,-5.35742,-2.72957,276.82914,-17.24869,1.25332,-0.31654,-5.90902,-5.33174,162.54198961623032,6.717471183274911,-199.5,24.196901658607132,24.196901658607132,True,155.82451843295541,A_compact_origin,A: Dmin < 20 pc,53.72758974031093,2181.8464621212543,0.37017319002302435,2181.476288931231,5894.123402036614,False,5892.785452442036,1.337949594577367,0.00022699721456715028
154,ASCC_85,UPK_629,7.8,8.4,8.1,125892541.1794166,125.8925411794166,415.7118,107.6359,523.3477,177.14701,0.15943,2.49121,0.0639970134994641,0.0568929181010788,0.9431070818989212,493.572922165512,15.625729160132977,6809.895545,251.59566,-45.59794,1.15795,0.1482,-4.06242,8.91472,255.20043,-56.04412,1.07611,0.71101,-3.77967,10.5632,179.32368199248748,26.930910149909664,-161.5,6.658656576932993,6.658656576932993,True,152.39277184257782,B_loose_complex,B: 20-50 pc,85.49863452847886,265.3077033952572,1.0863674908876444,264.22133590436954,244.2154295122369,False,244.16341178583002,0.05201772640688773,0.0002129993445163598
145,HSC_815,Theia_873,7.95,7.5,7.725,53088444.4230988,53.08844442309879,60.7968,146.2664,207.0632,171.17171,0.10202,11.98763,0.0085104395113963,0.0485927120915091,0.9514072879084908,197.0014375376534,117.50274455989022,4573.466775000001,333.17781,60.47815,1.47341,3.60109,-1.18518,-13.95773,330.4784,59.12626,1.156,2.27663,-2.0759,-17.63696,188.1068459008653,29.147759217925287,-171.0,6.453561129501281,6.453561129501281,True,158.95908668294,B_loose_complex,B: 20-50 pc,42.94596561590857,3085.737910938654,0.2234366405551114,3085.514474298099,13810.348666505064,False,13806.89497910681,3.45368739825426,0.00025007966718687286
18,HSC_1897,HSC_1911,7.95,7.45,7.7,50118723.36272725,50.118723362727245,94.5613,147.5236,242.0849,49.15053,0.20586,3.29895,0.0624016732596735,0.0566366627627787,0.9433633372372212,228.37401915873895,16.02521130865637,249.22278,114.83688,-21.03362,1.51504,-5.98422,4.19381,37.92457,114.03044,-25.00511,1.49517,-6.47768,4.40127,35.83509,47.656059209039455,12.444043644903118,-179.0,3.829628099107368,3.829628099107368,True,35.21201556413634,A_compact_origin,A: Dmin < 20 pc,57.62450857810627,313.5658120510759,1.2206968377286078,312.3451152133473,256.87443627243147,False,256.807397487088,0.06703878534347041,0.0002609788125135643
48,HSC_486,Theia_2395,6.95,7.6,7.275,18836490.89489802,18.83649089489802,174.7611,423.7203,598.4814,6.50439,0.88976,33.88214,0.0262604428173663,0.0511145607323893,0.9488854392676106,567.8902861324946,38.08008901276749,0.03492,295.1033,24.21328,0.23737,-2.29005,-5.56667,23.92371,295.11617,23.93535,0.22545,-2.39757,-5.59811,46.40284,223.72759306151704,60.288763516810846,-9.0,3.710933514155305,3.710933514155305,True,163.4388295447062,C_wide_or_chance,C: >= 50 pc,123.72953565529355,71020.7170265282,48.96418792247351,70971.75283860572,1450.4624714490815,False,1450.093179220295,0.36929222878643486,0.00025460309112134024
118,Theia_3397,UPK_470,7.5,7.5,7.5,31622776.60168379,31.622776601683796,681.07,395.3169,1076.3869,150.1255,0.24837,3.09205,0.0803253504956258,0.0595790300226551,0.9404209699773448,1012.2568125689072,12.449369891693843,645.78925,113.92675,-25.28458,0.92951,-4.88729,4.01129,27.85816,108.28234,-19.49829,0.99754,-4.78513,4.28859,30.16769,159.0193535594819,46.2144111144317,-33.5,3.4409040324182305,3.4409040324182305,True,112.80494244505022,B_loose_complex,B: 20-50 pc,250.13169621722452,1195.7262091447553,7.713362706791606,1188.0128464379636,155.02009364760198,False,154.98681070021317,0.033282947388812545,0.00021470085977675062
27,CWNU_354,CWNU_56,6.8,6.9,6.85,7079457.843841373,7.079457843841373,121.9254,342.5362,464.4616,47.65659,0.28958,65.75228,0.004404105834809,0.0480263433579432,0.9519736566420568,442.15520772182026,227.06084674355964,8.13371,350.14277,68.55413,0.87673,-1.12172,-0.79592,-4.36606,345.70614,69.24949,0.80011,-1.18325,-1.01335,-1.5751,115.09570413749712,35.31505322885219,-26.0,3.2591117275582806,3.2591117275582806,True,79.78065090864493,B_loose_complex,B: 20-50 pc,89.91887208647604,194375.93195150228,3.7691098019510205,194372.16284170034,51570.77988306062,False,51556.62812390228,14.1517591583397,0.00027441429411053194
159,CWNU_158(1),Gulliver_32,8.95,9.4,9.175,1496235656.094436,1496.235656094436,124.3489,84.5573,208.9062,189.63135,0.09736,8.56119,0.0113722508202714,0.0489911710313395,0.9510088289686603,198.6716406262928,87.93334018077239,24018.47497,99.99867,5.21539,0.63261,-1.39371,2.90804,40.72636,98.38498,7.51789,0.5562,-0.92203,2.23521,46.49442,232.32284616115496,72.4956352867332,-80.5,3.204645979613484,3.204645979613484,True,159.82721087442175,C_wide_or_chance,C: >= 50 pc,50.33171462584642,1844.5056970194455,0.2384756311351253,1844.2672213883104,7734.566790911688,False,7732.27231534744,2.294475564248387,0.0002966521107483943
70,HSC_1807,NGC_2287,8.2,8.4,8.3,199526231.49688828,199.52623149688827,66.5071,1667.7127,1734.2198,107.43664,0.37267,8.61543,0.0432561114186987,0.0536448897893514,0.9463551102106486,1641.187769958489,23.11812058926128,1841.76488,108.335,-14.80598,1.41448,-4.20062,-0.82315,22.30707,101.51309,-20.69443,1.36456,-4.36109,-1.35161,22.88339,113.00993677421192,42.075439869602825,-12.5,2.68588842147448,2.68588842147448,True,70.93449690460909,B_loose_complex,B: 20-50 pc,63.95656150977517,2373.6081659764855,4.440152824892783,2369.1680131515927,534.5780335914004,False,534.4474995796263,0.1305340117741025,0.00024418139835853214
